,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
1324,K2-146 b,0.183,0.01816,Mass,2.6446,0.129,88.93,534,0.33,-0.016666667,5,1,2
1325,K2-146 c,0.195,0.02358,Mass,4.00498,0.075,87.54,515.3386376,0.33,-0.02,5,1,2
1326,K2-147 b,0.065,,,0.961918,,89.9,889.091912,0.58,-0.1,,1,1
1327,K2-148 b,0.119,,,4.38395,,,,0.65,-0.11,,2,3
1328,K2-148 c,0.154,,,6.9226,,,,0.65,-0.11,,2,3
1329,K2-148 d,0.146,,,9.7579,,,,0.65,-0.11,,2,3
1330,K2-149 b,0.146,,,11.332,,,473.7603817,0.59,0.11,,1,1
1331,K2-15 b,0.221,,,11.8104,,,676,0.72,-0.46,,1,1
1332,K2-150 b,0.178,,,10.59357,,,395.288215,0.46,0.09,,1,1
1333,K2-151 b,0.133,,,3.835476,,,566,0.47,-0.19,,2,1
1334,K2-152 b,0.204,,,32.6479,,,337,0.63,0.12,,1,1
1335,K2-153 b,0.178,,,7.51574,,,497,0.55,-0.09,,1,1
1336,K2-154 b,0.178,,,3.67626,,,715,0.65,0.21,,1,2
1337,K2-154 c,0.185,,,7.95486,,,552,0.65,0.21,,1,2
1338,K2-155 b,0.161,,,6.342,,88.3,708,0.65,-0.3,,1,3
1339,K2-155 c,0.232,,,13.85,,88.96,583,0.65,-0.3,,1,3
1340,K2-155 d,0.17,,,40.718,,89.61,381,0.65,-0.3,,1,3
1341,K2-156 b,0.098,,,0.813143,,89.8,1347,0.65,-0.33,,1,1
1342,K2-157 b,0.089,,,0.365261,,89.7,2493.486195,0.94,0.13,,1,1
1343,K2-158 b,0.236,,,10.06049,,88.405,794,0.92,0.07,,1,2
1344,K2-158 c,0.114,,,5.90279,,,948,0.92,0.07,,1,2
1345,K2-159 b,0.202,,,12.42205,,89.065,684,0.9,-0.07,,1,1
1346,K2-16 b,0.18,,,7.6188,,87.97,658,0.68,-0.33,,1,3
1347,K2-16 c,0.227,,,19.07863,,87.83,485,0.68,-0.33,,1,3
1348,K2-160 b,0.284,,,3.705871,,88.254,1204.309669,0.98,0.07,,1,1
1349,K2-161 b,0.546,,,9.283188,,87.251,1309.402346,0.99,-0.03,,1,1
1350,K2-162 b,0.128,,,9.45889,,88.761,631,0.75,-0.17,,1,1
1351,K2-163 b,0.22,,,6.673117,,88.253,812.8199268,0.83,0.14,,1,1
1352,K2-164 b,0.29,,,17.355066,,87.89,929.7762552,1.18,-0.23,,1,1
1353,K2-165 b,0.114,,,2.354992,,87.083,1239.361328,0.83,-0.05,,1,3
1354,K2-165 c,0.139,,,4.382745,,87.054,1007.578794,0.83,-0.05,,1,3
1355,K2-165 d,0.236,,,14.101361,,89.002,688.0989329,0.83,-0.05,,1,3
