planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass;calc_semi_major_axis
BD-08 2823 c;1;237.6;0.68;;;0.19;;13.4;;4746.0;;0.74;0.6790623097534829
BD-10 3166 b;1;3.487905;0.045;;;0.022;;60.2;;5382.64;0.97;1.0;0.04501022603534887
BD-10 3166 b;1;3.48777;0.0452;;;0.019;;60.9;;5393.0;;1.01;0.0451585974831045
BD-10 3166 b;1;3.48777;0.04;;;0.02;;60.9;;5393.0;0.91;1.47;0.051176718175516264
BD-10 3166 b;1;3.487;0.046;;;0.05;;60.6;;5400.0;;1.1;0.04645512384283035
BD-11 4672 b;1;1634.0;2.36;;;0.05;;14.88;;4550.0;0.64;0.65;2.3518371659904953
BD-11 4672 b;1;1667.0;2.28;;;0.05;;13.4;;4475.0;0.52;0.57;2.2813054989502493
BD-11 4672 c;1;74.2;0.3;;;0.4;;3.42;;4550.0;0.64;0.65;0.299347166248327
BD-13 2130 b;1;714.29999;1.66;;;0.21;;137.6;;4545.0;19.17;2.12;2.0089408286151125
BD-13 2130 b;1;714.3;2.1;;;0.21;;137.6;;;;2.4;2.0937537852473365
BD-14 3065 b;3;4.2889731;0.0656;21.59;80.78;0.066;;1210.0;2001.0;6935.0;2.35;1.41;0.057930865192084326
BD-14 3065 b;3;4.2889696;;20.711;;;646.76;;1404.0;6736.9;2.61;;
BD-17 63 b;1;655.6;1.34;;;0.54;;173.3;;4714.0;0.69;0.74;1.3358918450881663
BD-17 63 b;1;655.59998;1.34;;;0.54;;173.3;;4665.0;0.74;0.31;0.9995732254124022
BD-17 63 b;1;649.0;;;80.0;0.28;;;;;;;
BD-17 63 b;1;655.57;;;;0.5439;;;;;;0.74;1.3358510915178916
BD-210397 b;1;1891.0;2.63;;;0.1;0.02;14.0;;4051.0;0.75;0.68;2.6316739749182045
BD-210397 c;1;6240.0;5.9;;33.0;0.43;;;;;;0.69;5.861483123745726
BD-210397 c;1;6360.0;5.9;;;0.1;0.0;34.0;;4051.0;0.75;0.68;5.9075736341984815
Barnard b;1;3.1533;0.02294;;;0.16;6.76;550.0;400.0;3195.0;0.18;0.16;0.022846426691297328
